country,year,age,sex,cases
AD,2005,55-64,m,0
AD,2005,65+,f,0
AD,2005,65+,m,0
AD,2005,,f,0
AD,2005,,f,0
AD,2005,,m,0
AD,2005,,m,0
AD,2006,0-4,f,0
AD,2006,0-4,m,0
AD,2006,15-24,f,0
AD,2006,15-24,m,1
AD,2006,25-34,f,1
AD,2006,25-34,m,1
AD,2006,35-44,f,0
AD,2006,35-44,m,2
AD,2006,45-54,f,1
AD,2006,45-54,m,0
AD,2006,May-14,f,0
AD,2006,May-14,m,0
AD,2006,55-64,f,0
AD,2006,55-64,m,1
AD,2006,65+,f,0
AD,2006,65+,m,1
AD,2006,,f,0
AD,2006,,f,0
AD,2006,,m,0
AD,2006,,m,0
AD,2007,25-34,f,1
AD,2007,45-54,f,1
AD,2008,0-4,f,0
AD,2008,0-4,m,0
AD,2008,15-24,f,0
AD,2008,15-24,m,0
AD,2008,25-34,f,0
AD,2008,25-34,m,0
AD,2008,35-44,f,1
AD,2008,35-44,m,0
AD,2008,45-54,f,1
AD,2008,45-54,m,1
AD,2008,May-14,f,0
AD,2008,May-14,m,0
AD,2008,55-64,f,0
AD,2008,55-64,m,0
AD,2008,65+,f,0
AD,2008,65+,m,0
AD,2008,,f,0
AD,2008,,f,0
AD,2008,,m,0
AD,2008,,m,0
AE,1999,15-24,f,11
AE,1999,15-24,m,9
AE,1999,25-34,f,5
AE,1999,25-34,m,3
AE,1999,35-44,f,3
AE,1999,35-44,m,2
AE,1999,45-54,f,0
AE,1999,45-54,m,4
AE,1999,55-64,f,3
AE,1999,55-64,m,6
AE,1999,65+,f,2
AE,1999,65+,m,5
AE,1999,,f,9
AE,1999,,m,4
AE,2000,15-24,f,16
AE,2000,15-24,m,4
AE,2000,25-34,f,1
AE,2000,25-34,m,4
AE,2000,35-44,f,3
AE,2000,35-44,m,6
AE,2000,45-54,f,0
AE,2000,45-54,m,5
AE,2000,55-64,f,0
AE,2000,55-64,m,12
AE,2000,65+,f,4
AE,2000,65+,m,10
AE,2000,,f,3
AE,2000,,m,2
AE,2002,15-24,f,3
AE,2002,15-24,m,2
AE,2002,25-34,f,8
AE,2002,25-34,m,0
AE,2002,35-44,f,3
AE,2002,35-44,m,6
AE,2002,45-54,f,4
AE,2002,45-54,m,6
AE,2002,55-64,f,10
AE,2002,55-64,m,10
AE,2002,65+,f,1
AE,2002,65+,m,0
AE,2002,,f,3
AE,2002,,m,1
AE,2003,15-24,f,9
AE,2003,15-24,m,10
AE,2003,25-34,f,5
AE,2003,25-34,m,8
AE,2003,35-44,f,3
AE,2003,35-44,m,12
AE,2003,45-54,f,3
AE,2003,45-54,m,3
AE,2003,55-64,f,2
AE,2003,55-64,m,2
AE,2003,65+,f,4
AE,2003,65+,m,10
AE,2003,,f,4
AE,2003,,m,2
AE,2004,15-24,f,6
AE,2004,15-24,m,7
AE,2004,25-34,f,2
AE,2004,25-34,m,6
AE,2004,35-44,f,7
AE,2004,35-44,m,7
AE,2004,45-54,f,2
AE,2004,45-54,m,3
AE,2004,55-64,f,2
AE,2004,55-64,m,1
AE,2004,65+,f,3
AE,2004,65+,m,7
AE,2004,,f,3
AE,2004,,m,1
AE,2006,0-4,f,0
AE,2006,0-4,m,0
AE,2006,15-24,f,6
AE,2006,15-24,m,5
AE,2006,25-34,f,4
AE,2006,25-34,m,3
AE,2006,35-44,f,5
AE,2006,35-44,m,7
AE,2006,45-54,f,3
AE,2006,45-54,m,3
AE,2006,May-14,f,2
AE,2006,May-14,m,0
AE,2006,55-64,f,4
AE,2006,55-64,m,1
AE,2006,65+,f,5
AE,2006,65+,m,4
AE,2006,,f,2
AE,2006,,m,0
AE,2007,0-4,f,0
AE,2007,0-4,m,0
AE,2007,15-24,f,8
AE,2007,15-24,m,5
AE,2007,25-34,f,6
AE,2007,25-34,m,6
AE,2007,35-44,f,3
AE,2007,35-44,m,3
AE,2007,45-54,f,2
AE,2007,45-54,m,4
AE,2007,May-14,f,1
AE,2007,May-14,m,2
AE,2007,55-64,f,0
AE,2007,55-64,m,3
AE,2007,65+,f,0
AE,2007,65+,m,10
AE,2007,,f,1
AE,2007,,m,2
AE,2008,0-4,f,0
AE,2008,0-4,m,0
AE,2008,15-24,f,10
AE,2008,15-24,m,6
AE,2008,25-34,f,4
AE,2008,25-34,m,1
AE,2008,35-44,f,1
AE,2008,35-44,m,7
AE,2008,45-54,f,1
AE,2008,45-54,m,5
AE,2008,May-14,f,0
AE,2008,May-14,m,0
AE,2008,55-64,f,3
AE,2008,55-64,m,3
AE,2008,65+,f,3
AE,2008,65+,m,6
AE,2008,,f,0
AE,2008,,f,0
AE,2008,,m,0
AE,2008,,m,0
AF,1997,15-24,f,38
AF,1997,15-24,m,10
AF,1997,25-34,f,36
AF,1997,25-34,m,6
AF,1997,35-44,f,14
AF,1997,35-44,m,3
AF,1997,45-54,f,8
AF,1997,45-54,m,5
AF,1997,55-64,f,0
AF,1997,55-64,m,2
AF,1997,65+,f,1
AF,1997,65+,m,0
AF,1997,,f,5
AF,1997,,m,0
AF,1998,15-24,f,350
AF,1998,15-24,m,129
AF,1998,25-34,f,419
AF,1998,25-34,m,128
AF,1998,35-44,f,194
AF,1998,35-44,m,90
AF,1998,45-54,f,118
AF,1998,45-54,m,89
AF,1998,55-64,f,61
AF,1998,55-64,m,64
AF,1998,65+,f,20
AF,1998,65+,m,41
AF,1998,,f,45
AF,1998,,m,30
AF,1999,15-24,f,139
AF,1999,15-24,m,55
AF,1999,25-34,f,160
AF,1999,25-34,m,55
AF,1999,35-44,f,110
AF,1999,35-44,m,47
AF,1999,45-54,f,50
AF,1999,45-54,m,34
AF,1999,55-64,f,25
AF,1999,55-64,m,21
AF,1999,65+,f,8
AF,1999,65+,m,8
AF,1999,,f,25
AF,1999,,m,8
AF,2000,15-24,f,414
AF,2000,15-24,m,228
AF,2000,25-34,f,565
AF,2000,25-34,m,183
AF,2000,35-44,f,339
AF,2000,35-44,m,149
AF,2000,45-54,f,205
AF,2000,45-54,m,129
AF,2000,55-64,f,99
AF,2000,55-64,m,94
AF,2000,65+,f,36
AF,2000,65+,m,80
AF,2000,,f,93
AF,2000,,m,52
AF,2001,15-24,f,799
AF,2001,15-24,m,379
AF,2001,25-34,f,888
AF,2001,25-34,m,349
AF,2001,35-44,f,586
AF,2001,35-44,m,274
AF,2001,45-54,f,375
AF,2001,45-54,m,204
AF,2001,55-64,f,179
AF,2001,55-64,m,139
AF,2001,65+,f,89
AF,2001,65+,m,103
AF,2001,,f,146
AF,2001,,m,129
AF,2002,15-24,f,1119
AF,2002,15-24,m,476
AF,2002,25-34,f,1251
AF,2002,25-34,m,481
AF,2002,35-44,f,792
AF,2002,35-44,m,368
AF,2002,45-54,f,526
AF,2002,45-54,m,246
AF,2002,55-64,f,320
AF,2002,55-64,m,241
AF,2002,65+,f,218
AF,2002,65+,m,189
AF,2002,,f,192
AF,2002,,m,90
AF,2003,15-24,f,1152
AF,2003,15-24,m,511
AF,2003,25-34,f,1287
AF,2003,25-34,m,436
AF,2003,35-44,f,814
AF,2003,35-44,m,284
AF,2003,45-54,f,462
AF,2003,45-54,m,256
AF,2003,55-64,f,305
AF,2003,55-64,m,288
AF,2003,65+,f,158
AF,2003,65+,m,203
AF,2003,,f,245
AF,2003,,m,127
AF,2004,15-24,f,1360
AF,2004,15-24,m,537
AF,2004,25-34,f,1561
AF,2004,25-34,m,568
AF,2004,35-44,f,1096
AF,2004,35-44,m,360
AF,2004,45-54,f,645
AF,2004,45-54,m,358
AF,2004,55-64,f,413
AF,2004,55-64,m,386
AF,2004,65+,f,256
AF,2004,65+,m,310
AF,2004,,f,256
AF,2004,,m,139
AF,2005,15-24,f,1651
AF,2005,15-24,m,606
AF,2005,25-34,f,1959
AF,2005,25-34,m,560
AF,2005,35-44,f,1302
AF,2005,35-44,m,472
AF,2005,45-54,f,869
AF,2005,45-54,m,453
AF,2005,55-64,f,471
AF,2005,55-64,m,470
AF,2005,65+,f,246
AF,2005,65+,m,419
AF,2005,,f,320
AF,2005,,m,151
AF,2006,15-24,f,2139
AF,2006,15-24,m,837
AF,2006,25-34,f,2340
AF,2006,25-34,m,791
AF,2006,35-44,f,1654
AF,2006,35-44,m,574
AF,2006,45-54,f,1006
AF,2006,45-54,m,572
AF,2006,55-64,f,630
AF,2006,55-64,m,572
AF,2006,65+,f,309
AF,2006,65+,m,410
AF,2006,,f,442
AF,2006,,m,193
AF,2007,15-24,f,2224
AF,2007,15-24,m,856
AF,2007,25-34,f,2357
AF,2007,25-34,m,840
AF,2007,35-44,f,1708
AF,2007,35-44,m,597
AF,2007,45-54,f,1143
AF,2007,45-54,m,566
AF,2007,55-64,f,771
AF,2007,55-64,m,630
AF,2007,65+,f,353
AF,2007,65+,m,507
AF,2007,,f,475
AF,2007,,m,186
AF,2008,15-24,f,2094
AF,2008,15-24,m,941
AF,2008,25-34,f,2449
AF,2008,25-34,m,773
AF,2008,35-44,f,1614
AF,2008,35-44,m,545
AF,2008,45-54,f,1149
AF,2008,45-54,m,570
AF,2008,55-64,f,817
AF,2008,55-64,m,630
AF,2008,65+,f,364
AF,2008,65+,m,575
AF,2008,,f,428
AF,2008,,m,187
AG,1996,15-24,f,0
AG,1996,15-24,m,0
AG,1996,25-34,f,0
AG,1996,25-34,m,0
AG,1996,35-44,f,1
AG,1996,35-44,m,0
AG,1996,45-54,f,0
AG,1996,45-54,m,1
AG,1996,55-64,f,0
AG,1996,55-64,m,0
AG,1996,65+,f,0
AG,1996,65+,m,0
AG,1996,,f,0
AG,1996,,m,0
AG,2000,15-24,f,1
AG,2000,15-24,m,0
AG,2000,25-34,f,1
AG,2000,25-34,m,0
AG,2000,35-44,f,0
AG,2000,35-44,m,0
AG,2000,45-54,f,0
AG,2000,45-54,m,0
AG,2000,55-64,f,0
AG,2000,55-64,m,0
AG,2000,65+,f,0
AG,2000,65+,m,1
AG,2000,,f,1
AG,2000,,m,0
AG,2001,15-24,f,1
AG,2001,25-34,f,0
AG,2001,35-44,f,0
AG,2001,45-54,f,0
AG,2001,55-64,f,0
AG,2001,65+,f,0
AG,2001,,f,0
AG,2002,15-24,f,0
AG,2002,15-24,m,0
AG,2002,25-34,f,1
AG,2002,25-34,m,1
AG,2002,35-44,f,0
AG,2002,35-44,m,0
AG,2002,45-54,f,0
AG,2002,45-54,m,0
AG,2002,55-64,f,0
AG,2002,55-64,m,0
AG,2002,65+,f,0
AG,2002,65+,m,0
AG,2002,,f,2
AG,2002,,m,0
AG,2003,15-24,f,0
AG,2003,15-24,m,0
AG,2003,25-34,f,0
AG,2003,25-34,m,1
AG,2003,35-44,f,0
AG,2003,35-44,m,0
AG,2003,45-54,f,0
AG,2003,45-54,m,0
AG,2003,55-64,f,0
AG,2003,55-64,m,0
AG,2003,65+,f,0
AG,2003,65+,m,0
AG,2003,,f,0
AG,2003,,m,0
AG,2005,15-24,f,2
AG,2005,25-34,f,2
AG,2005,35-44,m,1
AG,2005,45-54,m,1
AG,2007,0-4,f,0
AG,2007,0-4,m,0
AG,2007,15-24,f,0
AG,2007,15-24,m,0
AG,2007,25-34,f,0
AG,2007,25-34,m,0
AG,2007,35-44,f,0
AG,2007,35-44,m,0
AG,2007,45-54,f,0
AG,2007,45-54,m,1
AG,2007,May-14,f,0
AG,2007,May-14,m,0
AG,2007,55-64,f,0
AG,2007,55-64,m,1
AG,2007,65+,f,0
AG,2007,65+,m,0
AG,2007,,f,0
AG,2007,,m,0
AG,2008,45-54,m,1
AI,2003,35-44,f,1
AI,2004,15-24,f,0
AI,2004,15-24,m,0
AI,2004,25-34,f,0
AI,2004,25-34,m,0
AI,2004,35-44,f,0
AI,2004,35-44,m,0
AI,2004,45-54,f,0
AI,2004,45-54,m,0
AI,2004,55-64,f,0
AI,2004,55-64,m,0
AI,2004,65+,f,0
AI,2004,65+,m,0
AI,2004,,f,0
AI,2004,,m,0
AL,1995,15-24,f,1
AL,1995,15-24,m,0
AL,1995,25-34,f,0
AL,1995,25-34,m,0
AL,1995,35-44,f,0
AL,1995,35-44,m,0
AL,1995,45-54,f,13
AL,1995,45-54,m,19
AL,1995,55-64,f,20
AL,1995,55-64,m,40
AL,1995,65+,f,16
AL,1995,65+,m,30
AL,1995,,f,0
AL,1995,,m,0
AL,1997,15-24,f,16
AL,1997,15-24,m,23
AL,1997,25-34,f,19
AL,1997,25-34,m,43
AL,1997,35-44,f,14
AL,1997,35-44,m,33
AL,1997,45-54,f,9
AL,1997,45-54,m,25
AL,1997,55-64,f,10
AL,1997,55-64,m,21
AL,1997,65+,f,8
AL,1997,65+,m,19
AL,1997,,f,1
AL,1997,,m,0
AL,1998,15-24,f,19
AL,1998,15-24,m,17
AL,1998,25-34,f,11
AL,1998,25-34,m,21
AL,1998,35-44,f,12
AL,1998,35-44,m,24
AL,1998,45-54,f,13
AL,1998,45-54,m,18
AL,1998,55-64,f,11
AL,1998,55-64,m,26
AL,1998,65+,f,13
AL,1998,65+,m,24
AL,1998,,f,2
AL,1998,,m,1
AL,1999,15-24,f,5
AL,1999,15-24,m,13
AL,1999,25-34,f,13
AL,1999,25-34,m,23
AL,1999,35-44,f,11
AL,1999,35-44,m,25
AL,1999,45-54,f,5
AL,1999,45-54,m,19
AL,1999,55-64,f,8
AL,1999,55-64,m,15
AL,1999,65+,f,16
AL,1999,65+,m,15
AL,1999,,f,0
AL,1999,,m,0
AL,2000,15-24,f,11
AL,2000,15-24,m,19
AL,2000,25-34,f,10
AL,2000,25-34,m,21
AL,2000,35-44,f,8
AL,2000,35-44,m,14
AL,2000,45-54,f,8
AL,2000,45-54,m,24
AL,2000,55-64,f,5
AL,2000,55-64,m,19
AL,2000,65+,f,11
AL,2000,65+,m,16
AL,2000,,f,3
AL,2000,,m,2
AL,2001,15-24,f,12
AL,2001,15-24,m,13
AL,2001,25-34,f,10
AL,2001,25-34,m,18
AL,2001,35-44,f,5
AL,2001,35-44,m,17
AL,2001,45-54,f,7
AL,2001,45-54,m,19
AL,2001,55-64,f,7
AL,2001,55-64,m,20
AL,2001,65+,f,9
AL,2001,65+,m,30
AL,2001,,f,1
AL,2001,,m,3
AL,2002,15-24,f,20
AL,2002,15-24,m,21
AL,2002,25-34,f,19
AL,2002,25-34,m,27
AL,2002,35-44,f,9
AL,2002,35-44,m,29
AL,2002,45-54,f,6
AL,2002,45-54,m,19
AL,2002,55-64,f,8
AL,2002,55-64,m,23
AL,2002,65+,f,17
AL,2002,65+,m,25
AL,2002,,f,2
AL,2002,,m,0
AL,2003,15-24,f,13
AL,2003,15-24,m,28
AL,2003,25-34,f,8
AL,2003,25-34,m,19
AL,2003,35-44,f,6
AL,2003,35-44,m,32
AL,2003,45-54,f,14
AL,2003,45-54,m,16
AL,2003,55-64,f,12
AL,2003,55-64,m,22
AL,2003,65+,f,20
AL,2003,65+,m,19
AL,2003,,f,2
AL,2003,,m,0
AL,2004,15-24,f,12
AL,2004,15-24,m,12
AL,2004,25-34,f,12
AL,2004,25-34,m,19
AL,2004,35-44,f,8
AL,2004,35-44,m,21
AL,2004,45-54,f,11
AL,2004,45-54,m,24
AL,2004,55-64,f,10
AL,2004,55-64,m,23
AL,2004,65+,f,22
AL,2004,65+,m,20
AL,2004,,f,2
AL,2004,,m,5
AL,2005,0-4,f,0
AL,2005,0-4,m,0
AL,2005,15-24,f,3
AL,2005,15-24,m,26
AL,2005,25-34,f,9
AL,2005,25-34,m,21
AL,2005,35-44,f,5
AL,2005,35-44,m,16
AL,2005,45-54,f,5
AL,2005,45-54,m,31
AL,2005,May-14,f,0
AL,2005,May-14,m,0
AL,2005,55-64,f,5
AL,2005,55-64,m,20
AL,2005,65+,f,18
AL,2005,65+,m,37
AL,2005,,f,0
AL,2005,,f,0
AL,2005,,m,0
AL,2005,,m,0
AL,2006,0-4,f,0
AL,2006,0-4,m,1
AL,2006,15-24,f,12
AL,2006,15-24,m,24
AL,2006,25-34,f,8
AL,2006,25-34,m,19
AL,2006,35-44,f,7
AL,2006,35-44,m,22
AL,2006,45-54,f,7
AL,2006,45-54,m,21
AL,2006,May-14,f,2
AL,2006,May-14,m,4
AL,2006,55-64,f,7
AL,2006,55-64,m,19
AL,2006,65+,f,13
AL,2006,65+,m,20
AL,2006,,f,2
AL,2006,,f,0
AL,2006,,m,5
AL,2006,,m,0
AL,2007,0-4,f,0
AL,2007,0-4,m,0
AL,2007,15-24,f,13
AL,2007,15-24,m,19
AL,2007,25-34,f,9
AL,2007,25-34,m,13
AL,2007,35-44,f,7
AL,2007,35-44,m,16
AL,2007,45-54,f,7
AL,2007,45-54,m,24
AL,2007,May-14,f,2
AL,2007,May-14,m,0
AL,2007,55-64,f,11
AL,2007,55-64,m,16
AL,2007,65+,f,9
AL,2007,65+,m,19
AL,2007,,f,2
AL,2007,,f,0
AL,2007,,m,0
AL,2007,,m,0
AL,2008,0-4,f,0
AL,2008,0-4,m,1
AL,2008,15-24,f,20
AL,2008,15-24,m,23
AL,2008,25-34,f,10
AL,2008,25-34,m,26
AL,2008,35-44,f,8
AL,2008,35-44,m,13
AL,2008,45-54,f,5
AL,2008,45-54,m,19
AL,2008,May-14,f,1
AL,2008,May-14,m,0
AL,2008,55-64,f,5
AL,2008,55-64,m,13
AL,2008,65+,f,10
AL,2008,65+,m,16
AL,2008,,f,1
AL,2008,,m,1
AM,1995,15-24,f,1
AM,1995,15-24,m,18
AM,1995,25-34,f,7
AM,1995,25-34,m,16
AM,1995,35-44,f,2
AM,1995,35-44,m,11
AM,1995,45-54,f,1
AM,1995,45-54,m,10
AM,1995,55-64,f,1
AM,1995,55-64,m,8
AM,1995,65+,m,1
AM,1995,,f,1
AM,1995,,m,1
AM,1996,15-24,f,9
AM,1996,15-24,m,53
AM,1996,25-34,f,11
AM,1996,25-34,m,100
AM,1996,35-44,f,9
AM,1996,35-44,m,51
AM,1996,45-54,f,8
AM,1996,45-54,m,43
AM,1996,55-64,f,4
AM,1996,55-64,m,30
AM,1996,65+,f,0
AM,1996,65+,m,7
AM,1996,,f,0
AM,1996,,m,2
AM,1997,15-24,f,16
AM,1997,15-24,m,85
AM,1997,25-34,f,22
AM,1997,25-34,m,59
AM,1997,35-44,f,17
AM,1997,35-44,m,77
AM,1997,45-54,f,7
AM,1997,45-54,m,51
AM,1997,55-64,f,14
AM,1997,55-64,m,34
AM,1997,65+,f,1
AM,1997,65+,m,12
AM,1997,,f,3
AM,1997,,m,2
AM,1998,15-24,f,21
AM,1998,15-24,m,159
AM,1998,25-34,f,20
AM,1998,25-34,m,90
AM,1998,35-44,f,11
AM,1998,35-44,m,79
AM,1998,45-54,f,10
AM,1998,45-54,m,39
AM,1998,55-64,f,5
AM,1998,55-64,m,17
AM,1998,65+,f,6
AM,1998,65+,m,15
AM,1998,,f,1
AM,1998,,m,2
AM,1999,15-24,f,22
AM,1999,15-24,m,151
AM,1999,25-34,f,15
AM,1999,25-34,m,88
AM,1999,35-44,f,20
AM,1999,35-44,m,115
AM,1999,45-54,f,6
AM,1999,45-54,m,76
AM,1999,55-64,f,9
AM,1999,55-64,m,37
AM,1999,65+,f,7
AM,1999,65+,m,20
AM,1999,,f,6
AM,1999,,m,4
AM,2000,15-24,f,24
AM,2000,15-24,m,152
AM,2000,25-34,f,27
AM,2000,25-34,m,130
AM,2000,35-44,f,24
AM,2000,35-44,m,131
AM,2000,45-54,f,8
AM,2000,45-54,m,63
AM,2000,55-64,f,8
AM,2000,55-64,m,26
AM,2000,65+,f,4
AM,2000,65+,m,21
AM,2000,,f,1
AM,2000,,m,2
AM,2001,15-24,f,40
AM,2001,15-24,m,154
AM,2001,25-34,f,31
AM,2001,25-34,m,120
AM,2001,35-44,f,22
AM,2001,35-44,m,93
AM,2001,45-54,f,10
AM,2001,45-54,m,54
AM,2001,55-64,f,7
AM,2001,55-64,m,24
AM,2001,65+,f,5
AM,2001,65+,m,9
AM,2001,,f,1
AM,2001,,m,2
AM,2002,15-24,f,16
AM,2002,15-24,m,95
AM,2002,25-34,f,24
AM,2002,25-34,m,63
AM,2002,35-44,f,32
AM,2002,35-44,m,109
AM,2002,45-54,f,36
AM,2002,45-54,m,93
AM,2002,55-64,f,4
AM,2002,55-64,m,21
AM,2002,65+,f,1
AM,2002,65+,m,14
AM,2002,,f,2
AM,2002,,m,1
AM,2003,15-24,f,29
AM,2003,15-24,m,120
AM,2003,25-34,f,31
AM,2003,25-34,m,98
AM,2003,35-44,f,13
AM,2003,35-44,m,75
AM,2003,45-54,f,12
AM,2003,45-54,m,104
AM,2003,55-64,f,9
AM,2003,55-64,m,49
AM,2003,65+,f,3
AM,2003,65+,m,18
AM,2003,,f,2
AM,2003,,m,12
AM,2004,15-24,f,24
AM,2004,15-24,m,130
AM,2004,25-34,f,17
AM,2004,25-34,m,72
AM,2004,35-44,f,12
AM,2004,35-44,m,76
AM,2004,45-54,f,10
AM,2004,45-54,m,62
AM,2004,55-64,f,3
AM,2004,55-64,m,25
AM,2004,65+,f,3
AM,2004,65+,m,24
AM,2004,,f,1
AM,2004,,m,2
AM,2005,0-4,f,0
AM,2005,0-4,m,1
AM,2005,15-24,f,27
AM,2005,15-24,m,170
AM,2005,25-34,f,21
AM,2005,25-34,m,104
AM,2005,35-44,f,10
AM,2005,35-44,m,83
AM,2005,45-54,f,11
AM,2005,45-54,m,84
AM,2005,May-14,f,3
AM,2005,May-14,m,2
AM,2005,55-64,f,4
AM,2005,55-64,m,30
AM,2005,65+,f,7
AM,2005,65+,m,24
AM,2005,,f,3
AM,2005,,f,0
AM,2005,,m,3
AM,2005,,m,0
AM,2006,0-4,f,0
AM,2006,0-4,m,0
AM,2006,15-24,f,28
AM,2006,15-24,m,113
AM,2006,25-34,f,29
AM,2006,25-34,m,116
AM,2006,35-44,f,16
AM,2006,35-44,m,96
AM,2006,45-54,f,15
AM,2006,45-54,m,98
AM,2006,May-14,f,3
AM,2006,May-14,m,0
AM,2006,55-64,f,7
AM,2006,55-64,m,38
AM,2006,65+,f,4
AM,2006,65+,m,17
AM,2006,,f,3
AM,2006,,f,0
AM,2006,,m,0
AM,2006,,m,0
AM,2007,0-4,f,0
AM,2007,0-4,m,0
AM,2007,15-24,f,31
AM,2007,15-24,m,81
AM,2007,25-34,f,22
AM,2007,25-34,m,87
AM,2007,35-44,f,11
AM,2007,35-44,m,100
AM,2007,45-54,f,7
AM,2007,45-54,m,92
AM,2007,May-14,f,2
AM,2007,May-14,m,1
AM,2007,55-64,f,7
AM,2007,55-64,m,29
AM,2007,65+,f,7
AM,2007,65+,m,20
AM,2007,,f,2
AM,2007,,f,0
AM,2007,,m,1
AM,2007,,m,0
AM,2008,0-4,f,0
AM,2008,0-4,m,0
AM,2008,15-24,f,44
AM,2008,15-24,m,53
AM,2008,25-34,f,25
AM,2008,25-34,m,103
AM,2008,35-44,f,10
AM,2008,35-44,m,74
AM,2008,45-54,f,14
AM,2008,45-54,m,87
AM,2008,May-14,f,4
AM,2008,May-14,m,0
AM,2008,55-64,f,10
AM,2008,55-64,m,37
AM,2008,65+,f,11
AM,2008,65+,m,15
AM,2008,,f,4
AM,2008,,f,0
AM,2008,,m,0
AM,2008,,m,0
AN,1996,15-24,f,0
AN,1996,15-24,m,0
AN,1996,25-34,f,0
AN,1996,25-34,m,0
AN,1996,35-44,f,1
AN,1996,35-44,m,0
AN,1996,45-54,f,0
AN,1996,45-54,m,1
AN,1996,55-64,f,0
AN,1996,55-64,m,1
AN,1996,65+,f,0
AN,1996,65+,m,1
AN,1996,,f,0
AN,1996,,m,0
AN,1997,15-24,f,0
AN,1997,15-24,m,0
AN,1997,25-34,f,2
AN,1997,25-34,m,1
AN,1997,35-44,f,2
AN,1997,35-44,m,1
AN,1997,45-54,f,1
AN,1997,45-54,m,0
AN,1997,55-64,f,1
AN,1997,55-64,m,1
AN,1997,65+,f,1
AN,1997,65+,m,3
AN,1997,,f,0
AN,1997,,m,0
AN,1998,15-24,f,1
AN,1998,15-24,m,0
AN,1998,25-34,f,0
AN,1998,25-34,m,0
AN,1998,35-44,f,2
AN,1998,35-44,m,0
AN,1998,45-54,f,1
AN,1998,45-54,m,0
AN,1998,55-64,f,0
AN,1998,55-64,m,1
AN,1998,65+,f,0
AN,1998,65+,m,2
AN,1998,,f,0
AN,1998,,m,0
AN,1999,15-24,f,1
AN,1999,15-24,m,0
AN,1999,25-34,f,1
AN,1999,25-34,m,1
AN,1999,35-44,f,0
AN,1999,35-44,m,0
AN,1999,45-54,f,0
AN,1999,45-54,m,1
AN,1999,55-64,f,0
AN,1999,55-64,m,0
AN,1999,65+,f,0
AN,1999,65+,m,0
AN,1999,,f,0
AN,1999,,m,0
AN,2000,15-24,f,0
AN,2000,15-24,m,0
AN,2000,25-34,f,1
